월(Monthly),구  분,부문명,시도별,사용검사실적
2019-01,주택업체,공공임대,서울,453
2019-01,주택업체,공공임대,인천,0
2019-01,주택업체,공공임대,경기,40
2019-01,주택업체,공공임대,부산,0
2019-01,주택업체,공공임대,대구,0
2019-01,주택업체,공공임대,광주,0
2019-01,주택업체,공공임대,대전,0
2019-01,주택업체,공공임대,울산,1,715
2019-01,주택업체,공공임대,세종,60
2019-01,주택업체,공공임대,강원,0
2019-01,주택업체,공공임대,충북,600
2019-01,주택업체,공공임대,충남,0
2019-01,주택업체,공공임대,전북,625
2019-01,주택업체,공공임대,전남,0
2019-01,주택업체,공공임대,경북,866
2019-01,주택업체,공공임대,경남,0
2019-01,주택업체,공공임대,제주,0
2019-01,주택업체,공공분양,전국,0
2019-01,주택업체,공공분양,서울,0
2019-01,주택업체,공공분양,인천,0
2019-01,주택업체,공공분양,경기,0
2019-01,주택업체,공공분양,부산,0
2019-01,주택업체,공공분양,대구,0
2019-01,주택업체,공공분양,광주,0
2019-01,주택업체,공공분양,대전,0
2019-01,주택업체,공공분양,울산,0
2019-01,주택업체,공공분양,세종,0
2019-01,주택업체,공공분양,강원,0
2019-01,주택업체,공공분양,충북,0
2019-01,주택업체,공공분양,충남,0
2019-01,주택업체,공공분양,전북,0
2019-01,주택업체,공공분양,전남,0
2019-01,주택업체,공공분양,경북,0
2019-01,주택업체,공공분양,경남,0
2019-01,주택업체,공공분양,제주,0
2019-01,민간부문,소계,전국,42,223
2019-01,민간부문,소계,서울,3,440
2019-01,민간부문,소계,인천,1,299
2019-01,민간부문,소계,경기,16,690
2019-01,민간부문,소계,부산,1,707
2019-01,민간부문,소계,대구,264
2019-01,민간부문,소계,광주,1,797
2019-01,민간부문,소계,대전,156
2019-01,민간부문,소계,울산,843
2019-01,민간부문,소계,세종,382
2019-01,민간부문,소계,강원,2,138
2019-01,민간부문,소계,충북,382
2019-01,민간부문,소계,충남,952
2019-01,민간부문,소계,전북,2,995
2019-01,민간부문,소계,전남,1,333
2019-01,민간부문,소계,경북,4,205
2019-01,민간부문,소계,경남,2,438
2019-01,민간부문,소계,제주,1,202
2019-01,민간,민간임대,전국,1,728
2019-01,민간,민간임대,서울,0
2019-01,민간,민간임대,인천,0
2019-01,민간,민간임대,경기,0
2019-01,민간,민간임대,부산,0
2019-01,민간,민간임대,대구,0
2019-01,민간,민간임대,광주,0
2019-01,민간,민간임대,대전,0
2019-01,민간,민간임대,울산,0
2019-01,민간,민간임대,세종,0
2019-01,민간,민간임대,강원,0
2019-01,민간,민간임대,충북,0
2019-01,민간,민간임대,충남,0
2019-01,민간,민간임대,전북,711
2019-01,민간,민간임대,전남,749
2019-01,민간,민간임대,경북,0
2019-01,민간,민간임대,경남,0
2019-01,민간,민간임대,제주,268
2019-01,민간,민간분양,전국,40,495
2019-01,민간,민간분양,서울,3,440
2019-01,민간,민간분양,인천,1,299
2019-01,민간,민간분양,경기,16,690
2019-01,민간,민간분양,부산,1,707
2019-01,민간,민간분양,대구,264
2019-01,민간,민간분양,광주,1,797
2019-01,민간,민간분양,대전,156
2019-01,민간,민간분양,울산,843
2019-01,민간,민간분양,세종,382
2019-01,민간,민간분양,강원,2,138
2019-01,민간,민간분양,충북,382
2019-01,민간,민간분양,충남,952
2019-01,민간,민간분양,전북,2,284
2019-01,민간,민간분양,전남,584
2019-01,민간,민간분양,경북,4,205
2019-01,민간,민간분양,경남,2,438
2019-01,민간,민간분양,제주,934
2019-02,총계,총계,전국,53,040
2019-02,총계,총계,서울,12,912
2019-02,총계,총계,인천,1,508
2019-02,총계,총계,경기,12,782
2019-02,총계,총계,부산,2,943
2019-02,총계,총계,대구,845
2019-02,총계,총계,광주,2,051
2019-02,총계,총계,대전,299
2019-02,총계,총계,울산,2,753
2019-02,총계,총계,세종,1,455
2019-02,총계,총계,강원,1,603
2019-02,총계,총계,충북,338
2019-02,총계,총계,충남,378
2019-02,총계,총계,전북,1,974
2019-02,총계,총계,전남,362
2019-02,총계,총계,경북,2,864
2019-02,총계,총계,경남,7,527
2019-02,총계,총계,제주,446
2019-02,공공부문,소계,전국,5,876
2019-02,공공부문,소계,서울,2,890
2019-02,공공부문,소계,인천,0
2019-02,공공부문,소계,경기,1,710
2019-02,공공부문,소계,부산,498
2019-02,공공부문,소계,대구,0
2019-02,공공부문,소계,광주,288
2019-02,공공부문,소계,대전,0
2019-02,공공부문,소계,울산,100
2019-02,공공부문,소계,세종,0
2019-02,공공부문,소계,강원,0
2019-02,공공부문,소계,충북,1
2019-02,공공부문,소계,충남,0
2019-02,공공부문,소계,전북,0
2019-02,공공부문,소계,전남,0
2019-02,공공부문,소계,경북,389
2019-02,공공부문,소계,경남,0
2019-02,공공부문,소계,제주,0
2019-02,합,국민임대,전국,0
2019-02,합,국민임대,서울,0
2019-02,합,국민임대,인천,0
2019-02,합,국민임대,경기,0
2019-02,합,국민임대,부산,0
2019-02,합,국민임대,대구,0
2019-02,합,국민임대,광주,0
2019-02,합,국민임대,대전,0
2019-02,합,국민임대,울산,0
2019-02,합,국민임대,세종,0
2019-02,합,국민임대,강원,0
2019-02,합,국민임대,충북,0
2019-02,합,국민임대,충남,0
2019-02,합,국민임대,전북,0
2019-02,합,국민임대,전남,0
2019-02,합,국민임대,경북,0
2019-02,합,국민임대,경남,0
2019-02,합,국민임대,제주,0
2019-02,합,공공임대,전국,4,706
2019-02,합,공공임대,서울,1,720
2019-02,합,공공임대,인천,0
2019-02,합,공공임대,경기,1,710
2019-02,합,공공임대,부산,498
2019-02,합,공공임대,대구,0
2019-02,합,공공임대,광주,288
2019-02,합,공공임대,대전,0
2019-02,합,공공임대,울산,100
2019-02,합,공공임대,세종,0
2019-02,합,공공임대,강원,0
2019-02,합,공공임대,충북,1
2019-02,합,공공임대,충남,0
2019-02,합,공공임대,전북,0
2019-02,합,공공임대,전남,0
2019-02,합,공공임대,경북,389
2019-02,합,공공임대,경남,0
2019-02,합,공공임대,제주,0
2019-02,합,공공분양,전국,1,170
2019-02,합,공공분양,서울,1,170
2019-02,합,공공분양,인천,0
2019-02,합,공공분양,경기,0
2019-02,합,공공분양,부산,0
2019-02,합,공공분양,대구,0
2019-02,합,공공분양,광주,0
2019-02,합,공공분양,대전,0
2019-02,합,공공분양,울산,0
2019-02,합,공공분양,세종,0
2019-02,합,공공분양,강원,0
2019-02,합,공공분양,충북,0
2019-02,합,공공분양,충남,0
2019-02,합,공공분양,전북,0
2019-02,합,공공분양,전남,0
2019-02,합,공공분양,경북,0
2019-02,합,공공분양,경남,0
2019-02,합,공공분양,제주,0
2019-02,지자체,소계,전국,0
2019-02,지자체,소계,서울,0
2019-02,지자체,소계,인천,0
2019-02,지자체,소계,경기,0
2019-02,지자체,소계,부산,0
2019-02,지자체,소계,대구,0
2019-02,지자체,소계,광주,0
2019-02,지자체,소계,대전,0
2019-02,지자체,소계,울산,0
2019-02,지자체,소계,세종,0
2019-02,지자체,소계,강원,0
2019-02,지자체,소계,충북,0
2019-02,지자체,소계,충남,0
2019-02,지자체,소계,전북,0
2019-02,지자체,소계,전남,0
2019-02,지자체,소계,경북,0
2019-02,지자체,소계,경남,0
2019-02,지자체,소계,제주,0
2019-02,지자체,국민임대,전국,0
2019-02,지자체,국민임대,서울,0
2019-02,지자체,국민임대,인천,0
2019-02,지자체,국민임대,경기,0
2019-02,지자체,국민임대,부산,0
2019-02,지자체,국민임대,대구,0
2019-02,지자체,국민임대,광주,0
2019-02,지자체,국민임대,대전,0
2019-02,지자체,국민임대,울산,0
2019-02,지자체,국민임대,세종,0
2019-02,지자체,국민임대,강원,0
2019-02,지자체,국민임대,충북,0
2019-02,지자체,국민임대,충남,0
2019-02,지자체,국민임대,전북,0
2019-02,지자체,국민임대,전남,0
2019-02,지자체,국민임대,경북,0
2019-02,지자체,국민임대,경남,0
2019-02,지자체,국민임대,제주,0
2019-02,지자체,공공임대,전국,0
2019-02,지자체,공공임대,서울,0
2019-02,지자체,공공임대,인천,0
2019-02,지자체,공공임대,경기,0
2019-02,지자체,공공임대,부산,0
2019-02,지자체,공공임대,대구,0
2019-02,지자체,공공임대,광주,0
2019-02,지자체,공공임대,대전,0
2019-02,지자체,공공임대,울산,0
2019-02,지자체,공공임대,세종,0
2019-02,지자체,공공임대,강원,0
2019-02,지자체,공공임대,충북,0
2019-02,지자체,공공임대,충남,0
2019-02,지자체,공공임대,전북,0
2019-02,지자체,공공임대,전남,0
2019-02,지자체,공공임대,경북,0
2019-02,지자체,공공임대,경남,0
2019-02,지자체,공공임대,제주,0
2019-02,지자체,공공분양,전국,0
2019-02,지자체,공공분양,서울,0
2019-02,지자체,공공분양,인천,0
2019-02,지자체,공공분양,경기,0
2019-02,지자체,공공분양,부산,0
2019-02,지자체,공공분양,대구,0
2019-02,지자체,공공분양,광주,0
2019-02,지자체,공공분양,대전,0
2019-02,지자체,공공분양,울산,0
2019-02,지자체,공공분양,세종,0
2019-02,지자체,공공분양,강원,0
2019-02,지자체,공공분양,충북,0
2019-02,지자체,공공분양,충남,0
2019-02,지자체,공공분양,전북,0
2019-02,지자체,공공분양,전남,0
2019-02,지자체,공공분양,경북,0
2019-02,지자체,공공분양,경남,0
2019-02,지자체,공공분양,제주,0
2019-02,LH,소계,전국,559
2019-02,LH,소계,서울,0
2019-02,LH,소계,인천,0
2019-02,LH,소계,경기,458
2019-02,LH,소계,부산,0
2019-02,LH,소계,대구,0
2019-02,LH,소계,광주,0
2019-02,LH,소계,대전,0
2019-02,LH,소계,울산,100
2019-02,LH,소계,세종,0
2019-02,LH,소계,강원,0
2019-02,LH,소계,충북,1
2019-02,LH,소계,충남,0
2019-02,LH,소계,전북,0
2019-02,LH,소계,전남,0
2019-02,LH,소계,경북,0
2019-02,LH,소계,경남,0
2019-02,LH,소계,제주,0
2019-02,LH,국민임대,전국,0
2019-02,LH,국민임대,서울,0
2019-02,LH,국민임대,인천,0
2019-02,LH,국민임대,경기,0
2019-02,LH,국민임대,부산,0
2019-02,LH,국민임대,대구,0
2019-02,LH,국민임대,광주,0
2019-02,LH,국민임대,대전,0
2019-02,LH,국민임대,울산,0
2019-02,LH,국민임대,세종,0
2019-02,LH,국민임대,강원,0
2019-02,LH,국민임대,충북,0
2019-02,LH,국민임대,충남,0
2019-02,LH,국민임대,전북,0
2019-02,LH,국민임대,전남,0
2019-02,LH,국민임대,경북,0
2019-02,LH,국민임대,경남,0
2019-02,LH,국민임대,제주,0
2019-02,LH,공공임대,전국,559
2019-02,LH,공공임대,서울,0
2019-02,LH,공공임대,인천,0
2019-02,LH,공공임대,경기,458
2019-02,LH,공공임대,부산,0
2019-02,LH,공공임대,대구,0
2019-02,LH,공공임대,광주,0
2019-02,LH,공공임대,대전,0
2019-02,LH,공공임대,울산,100
2019-02,LH,공공임대,세종,0
2019-02,LH,공공임대,강원,0
2019-02,LH,공공임대,충북,1
2019-02,LH,공공임대,충남,0
2019-02,LH,공공임대,전북,0
2019-02,LH,공공임대,전남,0
2019-02,LH,공공임대,경북,0
2019-02,LH,공공임대,경남,0
2019-02,LH,공공임대,제주,0
