월(Monthly),구  분,부문명,시도별,사용검사실적
2015-01,민간부문,소계,광주,313
2015-01,민간부문,소계,대전,609
2015-01,민간부문,소계,울산,279
2015-01,민간부문,소계,세종,2,397
2015-01,민간부문,소계,강원,339
2015-01,민간부문,소계,충북,531
2015-01,민간부문,소계,충남,955
2015-01,민간부문,소계,전북,1,782
2015-01,민간부문,소계,전남,943
2015-01,민간부문,소계,경북,896
2015-01,민간부문,소계,경남,4,063
2015-01,민간부문,소계,제주,714
2015-01,민간,민간임대,전국,0
2015-01,민간,민간임대,서울,0
2015-01,민간,민간임대,인천,0
2015-01,민간,민간임대,경기,0
2015-01,민간,민간임대,부산,0
2015-01,민간,민간임대,대구,0
2015-01,민간,민간임대,광주,0
2015-01,민간,민간임대,대전,0
2015-01,민간,민간임대,울산,0
2015-01,민간,민간임대,세종,0
2015-01,민간,민간임대,강원,0
2015-01,민간,민간임대,충북,0
2015-01,민간,민간임대,충남,0
2015-01,민간,민간임대,전북,0
2015-01,민간,민간임대,전남,0
2015-01,민간,민간임대,경북,0
2015-01,민간,민간임대,경남,0
2015-01,민간,민간임대,제주,0
2015-01,민간,민간분양,전국,30,145
2015-01,민간,민간분양,서울,4,986
2015-01,민간,민간분양,인천,877
2015-01,민간,민간분양,경기,5,774
2015-01,민간,민간분양,부산,2,324
2015-01,민간,민간분양,대구,2,363
2015-01,민간,민간분양,광주,313
2015-01,민간,민간분양,대전,609
2015-01,민간,민간분양,울산,279
2015-01,민간,민간분양,세종,2,397
2015-01,민간,민간분양,강원,339
2015-01,민간,민간분양,충북,531
2015-01,민간,민간분양,충남,955
2015-01,민간,민간분양,전북,1,782
2015-01,민간,민간분양,전남,943
2015-01,민간,민간분양,경북,896
2015-01,민간,민간분양,경남,4,063
2015-01,민간,민간분양,제주,714
2015-02,총계,총계,전국,28,613
2015-02,총계,총계,서울,3,924
2015-02,총계,총계,인천,741
2015-02,총계,총계,경기,9,367
2015-02,총계,총계,부산,1,020
2015-02,총계,총계,대구,785
2015-02,총계,총계,광주,1,178
2015-02,총계,총계,대전,377
2015-02,총계,총계,울산,1,971
2015-02,총계,총계,세종,1,364
2015-02,총계,총계,강원,344
2015-02,총계,총계,충북,325
2015-02,총계,총계,충남,917
2015-02,총계,총계,전북,950
2015-02,총계,총계,전남,784
2015-02,총계,총계,경북,2,654
2015-02,총계,총계,경남,1,282
2015-02,총계,총계,제주,630
2015-02,공공부문,소계,전국,948
2015-02,공공부문,소계,서울,0
2015-02,공공부문,소계,인천,0
2015-02,공공부문,소계,경기,0
2015-02,공공부문,소계,부산,0
2015-02,공공부문,소계,대구,0
2015-02,공공부문,소계,광주,0
2015-02,공공부문,소계,대전,0
2015-02,공공부문,소계,울산,0
2015-02,공공부문,소계,세종,559
2015-02,공공부문,소계,강원,0
2015-02,공공부문,소계,충북,0
2015-02,공공부문,소계,충남,299
2015-02,공공부문,소계,전북,0
2015-02,공공부문,소계,전남,90
2015-02,공공부문,소계,경북,0
2015-02,공공부문,소계,경남,0
